     JOBID  PARTITION                                                                                                           NAME           STATE       TIME
      7044   scopion3          Spin15_L384_Jdis100_Dim011_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7045   scopion3          Spin15_L384_Jdis100_Dim013_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7046   scopion3          Spin15_L384_Jdis100_Dim015_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7047   scopion3          Spin15_L512_Jdis100_Dim001_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7048   scopion3          Spin15_L512_Jdis100_Dim003_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7049   scopion3          Spin15_L512_Jdis100_Dim005_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7050   scopion3          Spin15_L512_Jdis100_Dim007_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7051   scopion3          Spin15_L512_Jdis100_Dim009_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7052   scopion3          Spin15_L512_Jdis100_Dim011_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7053   scopion3          Spin15_L512_Jdis100_Dim013_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7054   scopion3          Spin15_L512_Jdis100_Dim015_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7033   scopion3          Spin15_L256_Jdis100_Dim005_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7136   scopion3                                                                                                     s11_Cs_v8g         PENDING       0:00
      7128   scopion3                                                                                                     s11_Cs_v8b         PENDING       0:00
      7127   scopion3                                                                                                     s11_Cs_v8a         PENDING       0:00
      7032   scopion3          Spin15_L256_Jdis100_Dim003_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         RUNNING    9:43:26
      7031   scopion3          Spin15_L256_Jdis100_Dim001_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         RUNNING   10:06:54
      7030   scopion3          Spin15_L128_Jdis100_Dim015_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         RUNNING   16:15:24
      7027   scopion3          Spin15_L128_Jdis100_Dim009_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit         RUNNING 1-09:58:22
      7001   scopion4          Spin15_L256_Jdis080_Dim005_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7002   scopion4          Spin15_L256_Jdis080_Dim007_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7003   scopion4          Spin15_L256_Jdis080_Dim009_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7004   scopion4          Spin15_L256_Jdis080_Dim011_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
